1e+23  519.448 -27.5006  117.282 0.0247583
9.77237e+22  144.757 -29.4589  120.142 0.0245173
9.54993e+22  84.906 -31.6621  121.104 0.0251111
9.33254e+22  60.4724 -34.1588  121.399 0.0247819
9.12011e+22  47.199 -37.0108  122.673 0.0255931
8.91251e+22  38.8629 -40.2988  121.91 0.0262793
8.70964e+22  33.1427 -44.1301  121.216 0.0255792
8.51138e+22  28.9749 -48.65  119.912 0.0254369
8.31764e+22  25.8039 -54.0611  122.771 0.0247975
8.12831e+22  23.3108 -60.6537  124.005 0.025103
7.94328e+22  21.2998 -68.8599  126.259 0.0254512
7.76247e+22  19.6436 -79.3513  123.286 0.0248913
7.58578e+22  18.2565 -93.2329  124.978 0.0256318
7.4131e+22  17.0779 -112.458  125.8 0.0261236
7.24436e+22  16.0645 -140.84  124.934 0.026305
7.07946e+22  15.184 -186.945  125.568 0.0260905
6.91831e+22  14.412 -274.884  125.895 0.0255211
6.76083e+22  13.7298 -508.753  124.324 0.0264148
6.60693e+22  13.1228 -3017.94  122.112 0.0250951
6.45654e+22  12.5794 790.084  121.716 0.0256422
6.30957e+22  12.0901 353.81  117.917 0.0259341
6.16595e+22  11.6473 229.804  124.482 0.0257716
6.0256e+22  11.2449 171.175  122.757 0.0262756
5.88844e+22  10.8776 137.015  122.669 0.0261711
5.7544e+22  10.5412 114.654  122.995 0.0257781
5.62341e+22  10.2319 98.8844  122.309 0.0260253
5.49541e+22  9.94674 87.1678  122.754 0.0257363
5.37032e+22  9.68299 78.1221  124.089 0.0268386
5.24807e+22  9.43842 70.929  118.37 0.0256407
5.12861e+22  9.21107 65.0738  123.431 0.0264901
5.01187e+22  8.99923 60.216  122.937 0.0265362
4.89779e+22  8.80142 56.1219  124.795 0.0263034
4.7863e+22  8.61634 52.6253  120.483 0.0268147
4.67735e+22  8.44283 49.6051  123.36 0.0262731
4.57088e+22  8.2799 46.9708  123.119 0.0275704
4.46684e+22  8.12664 44.6534  125.148 0.0259847
4.36516e+22  7.98226 42.5995  117.687 0.0272716
4.2658e+22  7.84603 40.7671  122.594 0.0269149
4.16869e+22  7.71732 39.1225  121.851 0.026582
4.0738e+22  7.59555 37.6387  121.274 0.0268186
3.98107e+22  7.48022 36.2935  122.163 0.0265417
3.89045e+22  7.37084 35.0687  127.096 0.0258867
3.80189e+22  7.267 33.9491  124.93 0.0266845
3.71535e+22  7.16831 32.922  121.933 0.0266122
3.63078e+22  7.07443 31.9766  118.802 0.0263186
3.54813e+22  6.98502 31.1037  123.292 0.0265096
3.46737e+22  6.89981 30.2955  122.936 0.0262069
3.38844e+22  6.81853 29.5453  125.71 0.026571
3.31131e+22  6.74092 28.8472  120.002 0.0267937
3.23594e+22  6.66677 28.1962  122.239 0.0268099
3.16228e+22  6.59586 27.5877  123.435 0.027245
3.0903e+22  6.52801 27.018  121.82 0.0273832
3.01995e+22  6.46304 26.4835  123.141 0.0274675
2.95121e+22  6.40079 25.9812  121.986 0.0271733
2.88403e+22  6.3411 25.5084  122.687 0.0281495
2.81838e+22  6.28384 25.0627  118.486 0.0268837
2.75423e+22  6.22887 24.642  122.754 0.0269636
2.69153e+22  6.17607 24.2442  120.765 0.027374
2.63027e+22  6.12533 23.8678  120.863 0.0269618
2.5704e+22  6.07655 23.511  126.078 0.0267325
2.51189e+22  6.02962 23.1725  118.809 0.027279
2.45471e+22  5.98445 22.851  122.622 0.0273716
2.39883e+22  5.94096 22.5453  118.484 0.0277213
2.34423e+22  5.89907 22.2544  124.144 0.0275426
2.29087e+22  5.8587 21.9772  121.969 0.0277499
2.23872e+22  5.81978 21.713  120.642 0.027228
2.18776e+22  5.78224 21.4608  119.667 0.027542
2.13796e+22  5.74602 21.22  124.295 0.0278275
2.0893e+22  5.71106 20.9898  120.842 0.0285689
2.04174e+22  5.6773 20.7696  122.591 0.0281149
1.99526e+22  5.6447 20.5589  120.233 0.0279943
1.94984e+22  5.61319 20.357  119.165 0.0275796
1.90546e+22  5.58275 20.1636  120.134 0.0281615
1.86209e+22  5.55331 19.978  120.212 0.0281084
1.8197e+22  5.52484 19.8  121.087 0.0273319
1.77828e+22  5.4973 19.629  123.624 0.0288689
1.7378e+22  5.47065 19.4648  121.58 0.0286236
1.69824e+22  5.44486 19.3069  121.234 0.0279887
1.65959e+22  5.41989 19.1551  125.297 0.0279349
1.62181e+22  5.3957 19.0091  123.701 0.0286192
1.58489e+22  5.37227 18.8684  123.878 0.0280772
1.54882e+22  5.34958 18.733  120.992 0.0282842
1.51356e+22  5.32758 18.6026  124.058 0.0278303
1.47911e+22  5.30626 18.4768  122.522 0.0280885
1.44544e+22  5.28559 18.3556  123.646 0.0291428
1.41254e+22  5.26554 18.2386  122.963 0.0285862
1.38038e+22  5.2461 18.1257  121.09 0.0271268
1.34896e+22  5.22724 18.0167  122.327 0.0281228
1.31826e+22  5.20893 17.9115  123.65 0.0283508
1.28825e+22  5.19117 17.8099  121.352 0.0288201
1.25893e+22  5.17393 17.7116  120.701 0.0284969
1.23027e+22  5.15719 17.6167  124.703 0.0292675
1.20226e+22  5.14094 17.5249  123.149 0.0287456
1.1749e+22  5.12515 17.4361  120.148 0.0286488
1.14815e+22  5.10982 17.3502  120.204 0.0290843
1.12202e+22  5.09493 17.267  121.963 0.028328
